[a, b, c, d]
[c, f, d, b]
[c, f, d, e]
[c, f, e, a]
[c, f, e, b]
[c, f, e, d]
[d, a, b, c]
[d, a, b, e]
[d, a, b, f]
[d, a, c, b]
[d, a, c, e]
[d, a, c, f]
[d, a, e, b]
[d, a, e, c]
[d, a, e, f]
[d, a, f, b]
[d, a, f, c]
[d, a, f, e]
[d, b, a, c]
[d, b, a, e]
[d, b, a, f]
[d, b, c, a]
[d, b, c, e]
[d, b, c, f]
[d, b, e, a]
[d, b, e, c]
[d, b, e, f]
[d, b, f, a]
[d, b, f, c]
[d, b, f, e]
[d, c, a, b]
[d, c, a, e]
[d, c, a, f]
[d, c, b, a]
[d, c, b, e]
[d, c, b, f]
[d, c, e, a]
[d, c, e, b]
[d, c, e, f]
[d, c, f, a]
[d, c, f, b]
[d, c, f, e]
[d, e, a, b]
[d, e, a, c]
[d, e, a, f]
[d, e, b, a]
[d, e, b, c]
[d, e, b, f]
[d, e, c, a]
[d, e, c, b]
[d, e, c, f]
[d, e, f, a]
[d, e, f, b]
[d, e, f, c]
[d, f, a, b]
[d, f, a, c]
[d, f, a, e]
[d, f, b, a]
[d, f, b, c]
[d, f, b, e]
[d, f, c, a]
[d, f, c, b]
[d, f, c, e]
[d, f, e, a]
[d, f, e, b]
[d, f, e, c]
[e, a, b, c]
[e, a, b, d]
[e, a, b, f]
[e, a, c, b]
[e, a, c, d]
[e, a, c, f]
[e, a, d, b]
[e, a, d, c]
[e, a, d, f]
[e, a, f, b]
[e, a, f, c]
[e, a, f, d]
[e, b, a, c]
[e, b, a, d]
[e, b, a, f]
[e, b, c, a]
[e, b, c, d]
[e, b, c, f]
[e, b, d, a]
[e, b, d, c]
[e, b, d, f]
[e, b, f, a]
[e, b, f, c]
[e, b, f, d]
[e, c, a, b]
[e, c, a, d]
[e, c, a, f]
[e, c, b, a]
[e, c, b, d]
[e, c, b, f]
[e, c, d, a]
[e, c, d, b]
[e, c, d, f]
[e, c, f, a]
[e, c, f, b]
[e, c, f, d]
[e, d, a, b]
[e, d, a, c]
[e, d, a, f]
[e, d, b, a]
[e, d, b, c]
[e, d, b, f]
[e, d, c, a]
[e, d, c, b]
[e, d, c, f]
[e, d, f, a]
[e, d, f, b]
[e, d, f, c]
[e, f, a, b]
[e, f, a, c]
[e, f, a, d]
[e, f, b, a]
[e, f, b, c]
[e, f, b, d]
[e, f, c, a]
[e, f, c, b]
[e, f, c, d]
[e, f, d, a]
[e, f, d, b]
[e, f, d, c]
[f, a, b, c]
[f, a, b, d]
[f, a, b, e]
[f, a, c, b]
[f, a, c, d]
[f, a, c, e]
[f, a, d, b]
[f, a, d, c]
[f, a, d, e]
[f, a, e, b]
[f, a, e, c]
[f, a, e, d]
[f, b, a, c]
[f, b, a, d]
[f, b, a, e]
[f, b, c, a]
[f, b, c, d]
[f, b, c, e]
[f, b, d, a]
[f, b, d, c]
[f, b, d, e]
[f, b, e, a]
[f, b, e, c]
[f, b, e, d]
[f, c, a, b]
[f, c, a, d]
[f, c, a, e]
[f, c, b, a]
[f, c, b, d]
[f, c, b, e]
[f, c, d, a]
[f, c, d, b]
[f, c, d, e]
[f, c, e, a]
[f, c, e, b]
[f, c, e, d]
[f, d, a, b]
[f, d, a, c]
[f, d, a, e]
[f, d, b, a]
[f, d, b, c]
[f, d, b, e]
[f, d, c, a]
[f, d, c, b]
[f, d, c, e]
[f, d, e, a]
[f, d, e, b]
[f, d, e, c]
[f, e, a, b]
[f, e, a, c]
[f, e, a, d]
[f, e, b, a]
[f, e, b, c]
[f, e, b, d]
[f, e, c, a]
[f, e, c, b]
[f, e, c, d]
[f, e, d, a]
[f, e, d, b]
[f, e, d, c]
